NAME,DINING TIME,RATING,REVIEW
amyw,"Dined on March 8, 2024",4,Service was particularly slow on this visit. It took one hour to get our entrées. It's a pricey restaurant. I expect much better service when I spend $350 for a two person meal.
OpenTable Diner,"Dined on March 7, 2024",4,Great place the ambience was relaxing and enjoy celebrating my son birthday here…..
AlexC,"Dined on March 1, 2024",5,3 of the 5 guests have never been to the restaurant before. They will be back. The porterhouse was cooked to perfection. The staff was attentive and courteous as always.
andreap,"Dined on February 28, 2024",3,The dumplings are amazing. Everything else is average.
EbonieS,"Dined on February 28, 2024",4,Solid Meal & Drinks. EXCELLENT service from Alex our server!
DanielleP,"Dined on February 25, 2024",5,"Everything was amazing, the food, severs, music, & decor. 10/10"
MiguelG,"Dined on February 25, 2024",5,"Food was great, space was a little tight but the ambiance and music was good. Great place definitely gets my recommendation."
OpenTable Diner,"Dined on February 25, 2024",5,"The experience was amazing, great food and great people!"
CariN,"Dined on February 25, 2024",3,"Great setting, good food and drinks. We ordered several small plates and shared.  Enjoyed the buckets of fried rice."
Alex,"Dined on February 25, 2024",5,"We went for a birthday. I don't know how they did it, but at multiple points in the dinner across multiple staff (e.g. waiter; hostess), they correctly wished the birthday person a happy birthday + their name. It was a really nice touch that we were all really happy and surprised by.   Thanks to the folks for making it a really nice birthday!"
OpenTable Diner,"Dined on February 24, 2024",5,The staff was very welcoming and accommodating.  The water was awesome.  Everyone was a matter of fact  Thank you team at Brooklyn Chop House lower Manhattan
ReginaA,"Dined on February 23, 2024",5,"Food was really good, they were very accommodating to our needs. We had a great time"
LaRondaM,"Dined on February 22, 2024",5,"I celebrated my birthday here and everything was A+! Food was delicious, service was amazing!!!"
OpenTable Diner,"Dined on February 21, 2024",4,"Just had drinks and apps.  Delicious!  Great service!  Kind down to Earth.  Atmosphere lovely.  Great vibe.  One minor issue that is a management culture speed-bump.  Midweek, place basically empty, early dining time so there would be no imminent rush.  Told by wait staff we had to order apps and mains at the same time.  Never heard of such, especially during a non volume time.  So…  We only ordered apps and drinks and left.  Had we had entrees too according to our initial plan,  they would have made more money and I would be complimenting steaks perhaps.  The prices for steaks seemed high, but apps were great."
Jace,"Dined on February 19, 2024",4,"It was nice, I took my girlfriend to celebrate her birthday. The food and drinks were awesome. The host said Happy birthday to my girlfriend and recommended some of the great options on the menu. However, they didn't bring out any birthday cake at all with sparkling candles or anything. Overall, great calm place for a date."
OpenTable Diner,"Dined on February 19, 2024",5,We sat upstairs in the back very close to  couples tables to the left and right.   It was a bit of a wait for our order to be taken and a wait for the food to come out ( It was worth the wait)  Would strongly suggest you order appetizers.   The table to the left and right of us experience.  Yes we were that close that we engaged in conversations with them since they heard each other’s conversation.   I frequent this restaurant.   Some of my guests prefer seating at the bar for a verity of reasons and from my experience I will suggest a table if with a lady; the bar with a man
Jhnei,"Dined on February 18, 2024",5,Great place for a dinner or celebration! I loved when we went the food was good ! The ambiance the music 90’s  rnb loveee it me and my bf went for his birthday it was great cant wait to go back !
Alecia,"Dined on February 18, 2024",4,The food and drink was on point. Just a little pricey.
KillaG,"Dined on February 18, 2024",5,"My first visit to this restaurant years ago was a complete opposite of my past few visits this year and last year. Food and service has evolved tremendously. Nyla was such a great waitress. She was knowledgeable, patient and always kept a smile. Music selection never misses and drinks were pretty good."
Stacy,"Dined on February 17, 2024",5,Food was delicious…they serve large portions…will be revisiting.
OpenTable Diner,"Dined on February 17, 2024",3,The vibes were definitely there and the service was great however the food was mid. Better steak at other restaurants in my opinion. Enjoyed the ambiance though.
NONE,"Dined on February 17, 2024",1,food was abysmal. waiter less than interested in us and so over priced…
OpenTable Diner,"Dined on February 15, 2024",2,Over priced. I got seated by the door and it was the worst experience It was too cold.
MiMi,"Dined on February 14, 2024",3,"Overall good. The spare ribs, wild mushrooms and broccoli/garlic excellent. Excellent, attentive service. The soft crab fried rice should have lump crab instead of soft crab to make it a thousand times better. And lemon drop martini was tooo sweet for my liking."
OpenTable Diner,"Dined on February 13, 2024",5,"My husband & I had a super great dubiously romantic night we enjoy they music and the calm ambience. We enjoyed our cocktail and the great seafood. We were there to celebrate his birthday day before he head to Toronto, our overall experience was wonderful we will certainly be back again."
NoreenO,"Dined on February 12, 2024",5,Food was fantastic! Signature drinks were loved by all on the table.
OpenTable Diner,"Dined on February 10, 2024",5,Everything was great I mean everything was great . Of course we will be back
OpenTable Diner,"Dined on February 10, 2024",5,"Food was amazing per usual, great service and vibe"
NicoleR,"Dined on February 9, 2024",5,"Alex was great! The manager, Eagles Fan was great! Food is always delicious. Libations perfect. Enjoy Times Square but the FIDI/original location's vibe is chill. A great night was had by all!"
